Temp(degC),Salinity(PSU),pH,DO(mg/l),rainfall(mm),At_temp(degC)
25.6,35.2,8.39,8.093,0.6,28
25.6,33.8,8.23,8.205,0.6,27.9
25.8,33.6,8.17,8.165,0.6,27.8
25.6,33.9,8.46,8.192,0.6,27.7
25.5,34,8.32,8.167,0.6,27.5
25.6,33.8,8.25,8.125,0.6,27.4
25.6,33.9,8.27,8.131,0.6,27.3
25.6,33.9,8.27,8.101,0.6,27.2
25.6,33.9,8.27,8.13,0.6,27.1
25.6,33.9,8.27,8.012,0.6,26.9
25.6,33.9,8.27,8.097,0.6,26.8
25.6,33.9,8.27,8.067,0.6,26.7
25.6,33.9,8.27,8.037,0.6,26.5
25.6,33.9,8.27,8.102,0.6,26.4
25.6,33.9,8.27,7.992,0.6,26.3
25.6,33.9,8.27,7.991,0.6,26.1
25.6,33.9,8.27,7.991,0.6,26
25.6,33.9,8.27,7.991,0.6,25.9
25.6,33.9,8.27,7.991,0.6,25.7
25.6,33.9,8.27,7.97,0.6,25.6
25.6,33.9,8.27,7.926,0.6,25.5
25.6,33.9,8.27,7.866,0.6,25.4
25.6,33.9,8.27,7.756,0.6,25.3
25.6,33.9,8.27,7.779,0.6,25.2
25.6,33.9,8.27,7.761,0.6,25
25.6,34,8.27,7.756,0.6,24.9
25.6,34,8.27,7.756,0.6,24.8
25.6,34,8.27,7.522,0.6,24.7
25.6,34,8.27,7.714,0.6,24.6
25.6,34,8.27,7.684,0.6,24.5
25.6,34,8.27,7.583,0.6,24.4
25.6,34,8.27,7.626,0.6,24.4
25.6,34,8.27,7.59,0.6,24.3
25.6,34.6,8.27,7.525,0.6,24.2
25.6,35,8.27,7.527,0.6,24.1
25.6,35,8.27,7.537,0.6,24
25.6,35,8.27,7.5,0.6,24
25.6,35,8.27,7.439,0.6,23.9
25.6,35,8.27,7.481,0.6,23.8
25.6,35,8.27,7.535,0.6,23.8
25.6,35,8.27,7.53,0.6,23.7
25.6,35,8.27,7.442,0.6,23.7
25.6,35,8.27,7.425,0.6,23.6
