Temp(degC),Salinity(PSU),pH,DO(mg/l),precipitation(mm),Air_temp(degC)
25.619,34.046,8.3158,8.1548,0.00102,27.762
25.623,34.084,8.3184,8.1587,0.00102,27.81
25.625,34.105,8.3198,8.1589,0.00102,27.819
25.623,34.098,8.319,8.1536,0.00102,27.768
25.619,34.084,8.3169,8.145,0.00102,27.686
25.615,34.076,8.3139,8.1347,0.00102,27.594
25.609,34.057,8.3089,8.1196,0.00102,27.459
25.6,34.026,8.3016,8.0993,0.00102,27.276
25.591,33.999,8.2943,8.0776,0.00102,27.086
25.583,33.98,8.2885,8.0564,0.00102,26.909
25.577,34.0725,8.2839,8.0357,0.00102,26.829
25.574,34.08,8.2817,8.0172,0.00102,26.7275
25.571,34.082,8.2802,7.9978,0.00102,26.61625
25.568,34.083,8.2785,7.9752,0.00102,26.490125
25.566,34.0825,8.2782,7.9523,0.00102,26.3625625
25.566,34.08225,8.2795,7.9291,0.00102,26.24078125
25.566,34.082125,8.2817,7.9166,0.00102,26.12089062
25.568,34.0820625,8.2848,7.8968,0.00102,25.99994531
25.571,34.08203125,8.2887,7.872,0.00102,25.87397266
25.574,34.08204688,8.2931,7.84285,0.00102,25.73548633
25.579,34.08205469,8.2961,7.810675,0.00102,25.59324316
25.5825,34.08205859,8.3019,7.7766875,0.00102,25.45762158
25.58925,34.08206055,8.31005,7.74084375,0.00102,25.32781079
25.591625,34.08206152,8.308175,7.703271875,0.00102,25.2054054
25.5904375,34.08206201,8.3072375,7.666085938,0.00102,25.0892027
25.58984375,34.08206226,8.30676875,7.631742969,0.00102,24.97610135
25.58954687,34.08206238,8.306534375,7.606771484,0.00102,24.86705067
25.58939844,34.08206244,8.306417187,7.594285742,0.00102,24.76502534
25.58932422,34.10303122,8.306358594,7.588042871,0.00102,24.66901267
25.58928711,34.16151561,8.306329297,7.584921436,0.00102,24.57900633
25.58926855,34.2582578,8.306314648,7.583360718,0.00102,24.49550317
25.58925928,34.3956289,8.306321973,7.582580359,0.00102,24.41825158
25.58925464,34.55181445,8.306325635,7.5689,0.00102,24.34562579
25.58612732,34.70290723,8.306327466,7.5777,0.00102,24.2758129
25.58556366,34.83745361,8.30632655,7.5818,0.00102,24.20740645
25.58584549,34.93872681,8.306326093,7.577,0.00102,24.13920322
25.5859864,35.0033634,8.306325864,7.5691,0.00102,24.07060161
25.58605686,35.0356817,8.306325749,7.5624,0.00102,24.00180081
25.58609209,35.05184085,8.306325692,7.5498,0.00102,23.9319004
25.5861097,35.05992043,8.306325663,7.5304,0.00102,23.8589502
25.58611851,35.06396021,8.3078,7.5092,0.00102,23.7869751
25.58612292,35.075,8.3108,7.4879,0.00102,23.71948755
25.582,35.0715,8.306325649,7.4667,0.00102,23.65774378
25.585,35.07325,8.302262825,7.4481,0.00102,23.60487189
25.58906146,35.074125,8.293181412,7.43705,0.00102,23.55893594
25.59503073,35.0745625,8.281340706,7.416725,0.00102,23.51746797
25.60451536,35.07478125,8.265420353,7.3898125,0.00102,23.48123399
25.61675768,35.07489063,8.251810177,7.35715625,0.00102,23.45211699
25.63037884,35.07494531,8.253255088,7.322278125,0.00102,23.4265585
25.63668942,35.07497266,8.253977544,7.289939063,0.00102,23.40277925
25.63984471,35.087,8.254338772,7.261269531,0.00102,23.37888962
25.64142236,35.075,8.254519386,7.243784766,0.00102,23.35244481
25.64221118,35.07,8.254609693,7.235042383,0.00102,23.32472241
25.64260559,35.0755,8.25456454,7.230671191,0.00102,23.2978612
25.64280279,35.07525,8.254541963,7.228485596,0.00102,23.2699306
25.6429014,35.075125,8.254530674,7.2147,0.00102,23.2409653
25.648,35.0750625,8.25452503,7.2263,0.00102,23.21248265
25.644,35.07503125,8.254522208,7.2262,0.00102,23.18674133
25.643,35.07501563,8.254520797,7.2152,0.00102,23.16487066
25.6485,35.07500781,8.254520092,7.20175,0.00102,23.15243533
25.65325,35.07501172,8.254519739,7.177475,0.00102,23.14621767
25.660625,35.07500977,8.254519562,7.1460875,0.00102,23.14310883
25.6708125,35.07501074,8.254109781,7.10479375,0.00102,23.14155442
25.68540625,35.07501367,8.247854891,7.051296875,0.00102,23.14077721
25.70170313,35.07501465,8.249077445,6.993098438,0.00102,23.138
25.71835156,35.07501514,8.249688723,6.961849219,0.00102,23.14
25.73067578,35.07501538,8.249994361,6.949774609,0.00102,23.1375
25.72451367,35.0750155,8.250147181,6.947487305,0.00102,23.13225
25.72143262,35.07501556,8.25022359,6.948630957,0.00102,23.122625
25.71989209,35.10300778,8.250261795,6.949202783,0.00102,23.1103125
25.71912183,35.17000389,8.250280898,6.949488696,0.00102,23.09365625
25.71873669,35.22300195,8.250290449,6.949631653,0.00102,23.07132813
25.71854413,35.19900097,8.250295224,6.949703131,0.00102,23.04716406
25.71844785,35.18700049,8.2503,6.94973887,0.00102,23.02408203
25.7183997,35.18100024,8.2573,6.9306,0.00102,23.00354102
25.71837563,35.17800012,8.2609,6.9377,0.00102,22.99077051
25.71838767,35.17650006,8.2649,6.9452,0.00102,22.98438525
25.71839369,35.17575003,8.2715,6.961,0.00102,22.98119263
25.7183967,35.17537502,8.2782,6.9748,0.00102,22.97959631
25.7183982,35.17556252,8.2853,6.9865,0.00102,22.98029816
25.71839895,35.17565628,8.2918,7,0.00102,22.98064908
25.71839933,35.17570315,8.2958,7.0149,0.00102,22.976
25.71839952,35.17572659,8.2984,7.02435,0.00102,22.978
25.71839961,35.17573831,8.2996,7.041875,0.00102,22.975
25.71839966,35.17574417,8.2985,7.0569875,0.00102,22.973
25.74419983,35.1757471,8.2948,7.04943125,0.00102,22.975
25.84109991,35.17574857,8.2745,7.045653125,0.00102,22.976
25.81754996,35.1757493,8.273,7.043764062,0.00102,22.978
25.80577498,35.18687465,8.2698,7.042819531,0.00102,22.981
25.79988749,35.19893732,8.26385,7.042347266,0.00102,22.983
25.79694374,35.20496866,8.257225,7.042111133,0.00102,22.986
25.79547187,35.20798433,8.2517125,7.042229199,0.00102,22.991
25.79473594,35.20949217,8.24830625,7.042288232,0.00102,22.996
25.79436797,35.21024608,8.249103125,7.042317749,0.00102,23.001
